hold_days,exit_price,exit_reason,pnl_pct,max_profit,max_drawdown,stock_code,signal_date,signal_type,entry_price,wave_gain,consolidation_drawdown,industry,sector_momentum,sector_strong,market_regime,index_code,_hold_bin
7,25.1,trailing_stop,0.16527390900649966,0.2989786443825442,-0.03853296193129054,sh.600105,2025-12-22,anomaly_no_decline,21.54,0.2156951416255497,0.1471663619744058,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
5,25.1,trailing_stop,0.07540702656383898,0.19880034275921168,-0.003427592116538059,sh.600105,2025-12-24,anomaly_no_decline,23.34,0.2156951416255497,0.1471663619744058,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
10,28.66,trailing_stop,0.10741885625966002,0.2557959814528594,-0.050231839258114405,sh.600105,2025-12-26,anomaly_no_decline,25.88,0.2156951416255497,0.1471663619744058,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
9,28.66,trailing_stop,0.09640397857689363,0.24330527926549347,-0.05967865340474377,sh.600105,2025-12-29,anomaly_no_decline,26.14,0.2156951416255497,0.1471663619744058,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
4,28.66,trailing_stop,0.05020153902528403,0.19091242213264936,-0.01795529497984604,sh.600105,2026-01-07,anomaly_no_decline,27.29,0.21796515160894092,0.05967865340474377,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
3,28.66,trailing_stop,0.023571428571428577,0.16071428571428573,-0.0353571428571428,sh.600105,2026-01-08,anomaly_no_decline,28.0,0.21796515160894092,0.05967865340474377,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
20,27.93,time_exit,-0.11417697431018083,0.0,-0.22423089121471615,sh.600105,2026-01-12,anomaly_no_decline,31.53,0.21796515160894092,0.05967865340474377,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
20,27.7,time_exit,-0.045814674474681426,0.031346882535308304,-0.15742335514984498,sh.600105,2026-01-14,anomaly_no_decline,29.03,0.21796515160894092,0.05967865340474377,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
9,41.39,final,0.24556123984351502,0.3198916641588927,0.0,sh.600105,2026-04-08,bullish_engulfing,33.23,0.1917205420563619,0.026548672566371754,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
6,41.39,final,0.06950904392764852,0.13333333333333325,0.0,sh.600105,2026-04-13,anomaly_no_decline,38.7,0.1917205420563619,0.026548672566371754,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
