code,close,pct_chg,signal,score,wave_gain,cons_dd,vol_ratio,stop_loss,entry,reasons
300757,541.36,0.03419554502731814,阳包阴,45,0.24753003632816983,0.04921542096653675,0.9709713440388313,461.384,541.36,一波25% | 浅调5% | 多头
600228,6.26,0.0245499181669393,异动不跌,40,0.16753410951417003,0.0337620578778135,0.7251374016313853,5.889799999999999,6.26,浅调3% | 多头
601677,18.22,0.04532415375788856,阳包阴,40,0.16428909600322372,0.04246885617214043,1.8979073804675566,16.5718,18.22,浅调4% | 多头
603175,97.82,0.01610055053495385,异动不跌,40,0.15664346301239473,0.02972087241496209,0.9807371668318919,84.1428,97.82,浅调3% | 多头
603399,13.48,0.06141732283464574,阳包阴,40,0.16104236151597418,0.05799373040752353,1.341308979495408,11.779599999999999,13.48,浅调6% | 多头
603800,49.02,0.027027027027027195,异动不跌,40,0.19613850179707515,0.0704399917372443,1.0173794666977425,44.1,49.02,浅调7% | 多头
603938,29.17,0.018150087260035086,异动不跌,40,0.1513782230154881,0.06707317073170722,1.1516677599016163,25.489800000000002,29.17,浅调7% | 多头
605366,13.96,0.03714710252600306,阳包阴,40,0.23151371347210947,0.09169550173010385,0.9458865810607774,10.29,13.96,一波23% | 调9% | 多头
002903,33.59,0.054631083202511865,阳包阴,40,0.17525141241178233,0.0607548327707887,1.3293734780244777,29.997799999999998,33.59,浅调6% | 多头
003031,122.5,0.029325266784303805,阳包阴,40,0.25885090822827417,0.012231781901109077,0.9959767912712998,93.3842,122.5,一波26% | 浅调1% | 多头
300207,29.65,0.02100550964187331,阳包阴,40,0.25498667957289545,0.049983338887037654,1.0556490330627226,27.9398,29.65,一波25% | 浅调5% | 多头
300671,46.15,0.03591470258136931,阳包阴,40,0.15689981554180243,0.07203389830508486,1.560022133257841,42.924,46.15,浅调7% | 多头
301217,49.34,0.0544988245351572,阳包阴,40,0.18341579359061289,0.041811846689895404,1.217760670549828,40.425,49.34,浅调4% | 多头
301219,83.69,0.020609756097560883,阳包阴,40,0.28512712438841015,0.049012435991221605,0.9049572434147424,76.44,83.69,一波29% | 浅调5% | 多头
301529,115.01,0.03138731952291285,阳包阴,40,0.20790068722789412,0.10077787381158164,1.0068481173982198,101.95920000000001,115.01,一波21% | 调10% | 多头
600791,12.77,0.024057738572573983,异动不跌,35,0.3458824240173135,0.16100443131462333,0.8361355925377757,11.1328,12.77,一波35%
603920,60.01,0.03163142513323014,阳包阴,35,0.15800172180154215,0.0700770847932726,1.2581041108069928,52.0184,60.01,浅调7% | 多头
002149,61.33,0.017418712674187153,异动不跌,35,0.2547124270696779,0.16105362182502342,1.1353541742245141,43.6982,61.33,一波25% | 多头
002471,9.77,0.024109014675052443,异动不跌,35,0.1964200669665117,0.11853448275862066,1.2453380550655475,8.016399999999999,9.77,调12% | 多头
002655,23.61,0.0405464962538562,阳包阴,35,0.16670977435563117,0.03475440222428174,0.9062879228115173,20.4134,23.61,浅调3% | 多头
002850,207.1,0.03752317018185458,阳包阴,35,0.18536936940679305,0.03603351955307256,1.0101348244125554,169.09900000000002,207.1,浅调4% | 多头
300014,71.98,0.04379350348027855,阳包阴,35,0.1906950443653681,0.06058091286307048,1.4060617887724576,66.5616,71.98,浅调6% | 多头
300570,143.1,0.04110585667515454,阳包阴,35,0.17925773796529976,0.028762958921194154,0.9531917204744723,122.10799999999999,143.1,浅调3% | 多头
301015,26.89,0.010522360015031929,异动不跌,35,0.17125853485798004,0.0942307692307692,0.7101806443399703,23.079,26.89,调9% | 多头
301176,29.76,0.03190013869625519,阳包阴,35,0.16335171014587235,0.053529608564737416,1.2556951671913763,27.7242,29.76,浅调5% | 多头
603061,247.35,0.027286319461749198,阳包阴,30,0.18716159590807147,0.05133574465384856,0.8613993925651149,201.8541525,247.35,浅调5% | 多头
603659,36.22,0.023452952811528593,阳包阴,30,0.16532912256876853,0.016155383544441303,1.0174671422235713,33.682599999999994,36.22,浅调2% | 多头
000573,4.91,0.022916666666666696,阳包阴,30,0.16803312602438591,0.03711790393013099,1.02552727563283,4.3218,4.91,浅调4% | 多头
002080,50.73,0.02921485088253184,阳包阴,30,0.18894279206038522,0.07678916827853009,0.8986060699364202,46.7754,50.73,浅调8% | 多头
002245,20.18,0.0264496439471007,阳包阴,30,0.1808601038192239,0.03160040774719679,1.0394850578549666,18.62,20.18,浅调3% | 多头
002952,27.29,0.09995969367190649,阳包阴,30,0.17760325361816487,0.1081677704194261,1.3300933420570515,23.7552,27.29,调11%
603588,15.89,0.030479896238651216,阳包阴,20,0.21638856292209319,0.1891598915989159,0.8575784460566206,14.6608,15.89,一波22%
